Area,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,White
127806,0,4.5299411,5.4607511,64.443062,1.4582686,0.89978284,23.208191
127910,0,9.6528864,6.6692667,61.349453,0.44851795,0.56552261,21.314352
127920,0.82232744,2.5915773,1.3705457,57.33865,0,1.844007,36.032894
128101,0,5.4062219,3.8356991,48.44458,1.7215343,0.60404712,39.987919
128102,0,6.262063,7.0340981,67.274284,2.1659875,0.27879047,16.984774
128210,0,2.5114574,6.2144823,84.436295,0,0.3483043,6.489459
128220,0.72815531,6.5533981,7.524272,47.018032,0.38141471,0,37.794731
128302,0,1.384083,4.3252597,77.20108,0.21145713,1.1534026,15.724721
128303,0,3.2615025,6.0861969,81.828773,0,0,8.8235292
128400,0.45443675,11.073906,1.8895001,29.203539,0,3.6115761,53.76704
128500,0,7.5607562,6.5031505,24.50495,0,2.4077408,59.023403
128601,0,5.645514,3.5667396,50.175056,0,3.238512,37.37418
128602,0,3.898196,4.0592785,14.626288,0,4.8324742,72.583763
128702,0.23854148,9.5586987,7.6844435,12.966434,0,5.7079573,63.843925
128801,0,13.707729,6.1896133,18.719807,0,4.0157003,57.367149
128802,0,8.2879868,1.9464211,19.066555,0,3.7463374,66.952698
128910,0.34221461,7.0642877,7.235395,6.4043021,0.34221461,5.2554388,73.356148
131010,0,17.24794,1.4743184,58.861763,0,2.4096386,20.006342
131020,0,12.568889,2.008889,63.982224,0.46222222,2.1688888,18.808889
131100,0,11.401978,2.0651541,35.89296,0.34904015,5.5555553,44.73531
131200,1.0362694,16.806995,5.3432641,38.92487,0.22668394,2.1373057,35.524612
131300,0.91222383,12.690046,0.66896415,57.87553,0,0.40543279,27.4478
131400,0,17.548346,8.0230141,44.030685,0,2.5571361,27.840818
131600,0,14.66116,1.2765158,51.473625,0.13140604,2.4028535,30.05444
131701,1.3410819,23.804201,6.2360306,34.935181,1.0952168,3.5985696,28.989717
131702,0,9.7867689,9.6774197,52.487698,0.21869874,2.3783488,25.451067
131800,0,4.4521737,4.6782608,62.608696,0,1.7391304,26.52174
131900,0,8.6485338,2.2311943,51.912453,0,3.6336591,33.574162
132001,0,11.743341,2.4515738,31.355932,0,0.51452786,53.934624
132002,0.79039812,3.6299765,2.0784543,38.612411,0.20491803,3.0152225,51.668617
132101,0.33791393,9.9571972,5.5643163,50.078846,4.3252983,0.40549675,29.330931
132102,0.074404761,15.606399,2.8087797,43.973213,0.50223213,2.6971726,34.337799
132300,2.0162382,10.094723,1.5426252,59.905277,1.0013531,1.2990527,24.14073
132501,0,11.815279,2.456399,50.159664,0,0.7369197,34.831738
132502,0,10.870113,5.7503152,45.674652,0,4.2370744,33.467842
132700,0,6.0991106,0.018152114,59.793064,0,0.36304229,33.726627
132900,0,5.1693406,1.1713777,29.055258,0,3.3358798,61.268143
133000,0,9.3295727,3.4063787,54.979389,0.36884356,2.2998481,29.615969
133100,0,8.3189802,2.1701689,41.129868,0.15501206,1.1712022,47.054771
134001,0,5.4300938,2.2329359,84.927681,0,1.2940878,6.1151991
134002,0.3125,13.149038,2.5961537,61.73077,0,2.1875,20.024038
134101,0.69787234,24.459574,3.7106383,45.19149,2.1276596,2.9787233,20.834044
