Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
195500,3.5426731,46.698872
195600,0,37.756714
195710,0,56.816101
195720,0,61.953728
195802,0,41.291584
195803,0,27.913279
195804,0,45
195901,0,57.299271
195902,0,29.680365
195903,0,20.347395
197200,0,26.40625
197300,0,28.361345
197410,0,42.227978
197420,1.3282733,52.561668
197500,0,59.259258
197600,0,14.489311
197700,0,42.293907
199000,0,34.116756
199110,0,58.52713
199120,1.8674136,41.830067
199201,0,54.621071
199202,0,43.342037
199300,0,15.163399
199400,0,23.81423
199700,0,46.0177
199800,0,29.652174
199900,0,46.708862
201110,0,42.337662
201120,0,50.887573
201200,0,42.741936
201301,0,31.082802
201302,0,12.439024
201401,0,55.396713
201402,0,44.665886
201501,1.6060863,48.43618
201503,0,56.449947
201504,0,46.226414
201601,0,49.69574
201602,0.67226893,28.739496
201700,2.1468925,38.418079
203100,0.89531678,55.509644
203200,0,52.107559
203300,0,43.51852
203500,0,55.847569
203600,1.2846518,52.19743
203710,0,66.78933
203720,0,18.899734
203800,0,33.504494
203900,0,43.042072
204110,0,33.785309
204120,0,35.70348
204200,0,49.468086
204300,0,42.573402
204410,1.1725293,63.149078
204420,0,66.114792
204600,0,37.634407
204700,0,22.547333
204810,0,67.330681
204820,0,40.735069
204910,0,50.841347
204920,0,55.845943
205110,0.38343558,39.800613
205120,0,57.613171
206010,0,37.44912
206020,0,82.758621
206031,0,13.114754
206032,0,52.356022
206050,0,55.555557
206200,0,95.187164
206300,0,100
207101,2.9787233,35.744682
207102,0,27.204031
207103,0,40.492168
207301,0,0
207302,0,91.82692
207400,,
207501,0,48.387096
207502,0,0
207710,0,38.095238
207900,5.8631921,0
208000,0,59.001781
208301,0,49.493488
208302,0,37.414967
208401,0,45.717133
208402,0,46.088436
208501,0.93240094,34.265736
208502,0,66.53347
208610,0,51.50721
208620,0.97826087,47.826088
208710,0,38.307873
208720,0.65146577,56.188927
208801,0,60.958904
208802,0,41.72794
208902,0,67.571884
