Area,Neighborhood,LA_Crimes,Total_Population,Under_Age_18,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Young_Adults_Enrolled_in_School,College_Graduation_Rate,Less_Than_High_School,Labor_Force_Participation_Rate,Unemployment_Rate,Homeownership_Rate,Renter_Rate,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant,Divorced_Separated,Married,Never_Married,Median_Household_Income,Opportunity_Youth,Homeless_count,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold,White,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,Median_Rent_Price,No_Vehicle_Households,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
106113,Sylmar,12.156295,3455,24.167873,11.519537,12.532561,14.703328,13.806078,8.5962372,14.674385,49.246231,22.142214,28.39784,59.992664,5.3178482,85.17,14.83,50.41254,49.58746,35.079594,10,51,35,4,9.9206352,21,9.170702,29.570217,14.1534,0,8.9146166,2.2865412,74.529671,0.11577424,0,1250,2.2727273,0,17.125748
106114,Sylmar,24.468445,5926,30.678366,12.132974,16.267296,14.697941,11.272359,8.0998983,6.8511643,39.638386,15.284745,38.093834,68.556938,10.0538,42.86,57.14,31.642303,68.357697,39.250759,15,40,42,3,18.526316,36,22.133978,54.575275,6.1592979,0,3.4255822,5.7711778,84.542694,0,0.10124873,1110,8.3224115,0.49504951,51.815182
106403,Sylmar,25.893612,3553,24.59893,12.834225,14.945117,14.185196,14.185196,10.835914,8.4154234,32.456139,5.6230321,41.52047,64.008545,9.4549503,81.41,18.59,50.536194,49.463806,41.992683,9,46,42,4,13.458262,4,5.3389831,47.655369,7.9650998,0.056290459,2.8708134,0.056290459,88.657471,0,0.39403322,1917,3.6649215,0.68649888,31.006865
106405,Sylmar,18.039215,3825,31.529411,9.5686274,15.947712,10.745098,16.888889,8.7320261,6.5882354,37.978142,10.430537,37.017311,62.858219,10.677864,53.82,46.18,61.759869,38.240131,31.79085,11,45,39,4,18.29574,NULL,32.974251,45.901207,15.712419,0.39215687,2.640523,4.7843137,76.470589,0,0,1168,4.8847928,0,35.157547
106406,Sylmar,18.380346,5495,25.732485,9.4631481,10.500455,16.214741,13.303002,12.811647,11.974523,58.846153,23.195732,18.786858,70.126877,5.8223686,76.81,23.19,49.200428,50.799572,34.140129,9,51,36,4,5.032258,NULL,7.534122,28.134668,20.018198,2.2747953,8.9353962,2.5841675,65.404915,0.16378526,0.61874431,1701,2.1140294,0,15.487977
106407,Sylmar,12.452438,2891,29.920443,9.6852303,12.590799,13.248011,10.169492,9.028018,15.358007,33.214287,11.741122,35.395187,56.502892,5.4560957,28.95,71.05,31.218531,68.781471,34.347977,16,33,43,8,10.638298,NULL,25.465376,62.062546,20.200623,0,4.6350741,9.8235903,64.856453,0,0.48426151,1261,21.428572,0,48.092487
106408,Sylmar,15.353122,3908,34.672466,17.937565,15.020471,14.969294,9.6468782,4.8362331,2.917093,29.101284,9.5032396,41.144707,72.450134,12.831169,16.6,83.4,24.272488,75.727516,38.689865,16,41,41,2,20.124224,NULL,30.388874,64.125679,2.7123849,0.20470829,4.7082906,2.0470829,90.32753,0,0,1181,6.147541,1.8450185,35.12915
106510,Sylmar,16.50165,5151,28.80994,9.5127163,13.997282,11.958843,13.220734,12.424772,10.075713,49.387756,28.454517,19.13755,64.16954,10.215054,69.04,30.96,56.653385,43.346615,24.364201,9,46,42,3,9.1397848,1,10.094044,18.725183,18.753639,0,5.7270432,4.4263248,69.403999,0,1.6889924,1603,2.4214659,0,19.54426
106520,Sylmar,14.725796,5908,26.506432,10.392688,16.232227,16.452269,7.5321598,11.391334,11.492891,33.224754,8.3422747,36.883049,61.326824,7.9956584,67.73,32.27,37.634407,62.365593,36.205147,8,41,45,7,17.713568,2,21.327015,38.964115,11.425186,0,0.37237644,0.40622884,86.882195,0,0.91401488,1539,2.9542098,0,32.311623
106603,Granada Hills,14.127764,3256,24.969288,8.4766588,6.9717445,11.916462,16.523342,15.325553,15.816954,49.63768,53.991695,6.9220119,63.457836,8.6165047,85.69,14.31,80.349342,19.650656,35.165848,4,62,28,5,9.6196871,0,1.9765288,11.36504,54.944717,0,19.103193,3.409091,16.492628,0,6.0503688,2842,1.9427403,0,20.771145
