Area,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant
205110,12.835052,87.164948,50.705696
205120,31.74905,68.250954,47.992702
206010,36.800961,63.199039,52.67659
206020,24.204546,75.795456,11.611031
206031,43.564358,56.435642,29.097311
206032,39.871384,60.128616,48.47068
206050,53.203884,46.796116,45.215099
206200,63.801651,36.198349,36.733456
206300,28.978224,71.021774,10.826986
207101,49.879227,50.120773,52.789288
207102,60.558254,39.441746,73.604286
207103,45.516811,54.483189,71.282738
207301,57.617188,42.382813,21.852325
207302,33.333332,66.666664,17.746878
207400,14.121037,85.87896,35.015137
207501,50,50,47.650375
207502,67.46843,32.53157,66.413734
207710,63.203049,36.796951,32.812012
207900,63.438595,36.561405,30.797493
208000,30.919577,69.080421,43.365292
208301,14.497272,85.502731,57.975597
208302,29.335562,70.664436,54.177044
208401,34.204109,65.795891,65.205544
208402,43.75,56.25,58.947369
208501,50.662651,49.337349,65.638596
208502,29.20686,70.793137,51.992199
208610,44.753521,55.246479,66.651024
208620,37.370491,62.629509,61.788078
208710,41.150764,58.849236,63.359482
208720,22.439587,77.560417,56.996063
208801,20.10737,79.892632,63.007381
208802,43.798882,56.201118,58.515854
208902,4.1327124,95.867287,66.796265
208903,8.047945,91.952057,60.159672
208904,16.099476,83.90052,63.105728
209102,15.21599,84.784012,64.800499
209103,12.033195,87.966805,60.083103
209104,20.287661,79.712341,54.339779
209200,35.150375,64.849625,48.717949
209300,23.616922,76.38308,50.304024
209401,21.158129,78.841873,54.649464
209402,10.278461,89.721542,66.08931
209403,26.120689,73.879311,64.64196
209510,27.206703,72.793297,66.791046
209520,22.52916,77.47084,63.657681
209810,27.317677,72.682327,58.348358
209820,15.089345,84.910652,50.033112
210010,28.25054,71.749458,64.84594
211000,72.669823,27.330173,27.074423
211120,33.396286,66.603714,61.403172
211121,49.833332,50.166668,51.502148
211122,22.010399,77.989601,55.356571
211201,25.327511,74.672485,60.803185
211202,33.417084,66.582916,61.06636
211310,28.865194,71.134804,61.126629
211320,30.602781,69.397217,58.729198
211410,41.265823,58.734177,58.173786
211420,40.116589,59.883411,56.227654
211500,43.150986,56.849014,48.679165
211701,56.054131,43.945869,46.675533
211703,35.975609,64.024391,62.457405
211704,53,47,54.588879
211802,35.109951,64.890045,63.683834
211803,28.408644,71.591354,67.06192
211804,51.318832,48.681168,69.822296
211910,16.823057,83.176941,62.834282
211921,36.918808,63.081192,65.440506
211922,19.795828,80.20417,60.990795
212101,35.65596,64.34404,63.895653
212102,45.57143,54.42857,60.475163
212202,26.996529,73.003471,62.203022
212203,18.852459,81.147537,67.799934
212204,15.458333,84.541664,65.466446
212303,19.444445,80.555557,64.993881
212304,15.80786,84.192139,61.328335
212305,23.152966,76.847031,63.432343
212306,33.630951,66.369049,65.327286
212410,25.400547,74.599449,61.886337
212420,27.282211,72.717789,57.155636
212501,27.945473,72.054527,47.590363
212502,39.257294,60.742706,54.050179
212610,39.083138,60.916862,66.494446
212620,26.613705,73.386299,65.54567
212701,52.127659,47.872341,60.256409
212702,69.054611,30.945391,45.34079
212800,53.097343,46.902657,41.311237
212900,30.861244,69.138756,51.121075
213100,37.362637,62.637363,56.443832
213201,33.771626,66.228371,63.460693
213202,33.132771,66.867226,62.528217
213310,34.87159,65.12841,65.11628
213320,38.213764,61.786236,63.505348
213401,21.079622,78.92038,65.972221
213402,38.002094,61.997906,62.812637
214000,75.208916,24.791086,18.63483
214100,72.893776,27.106228,19.238901
214400,56.166668,43.833332,19.81506
214501,44.333637,55.666363,37.427895
214502,33.236294,66.76371,41.56918
214503,37.703888,62.296112,47.738846
214600,64.294792,35.705208,28.442356
214700,65.656563,34.343433,30.579151
214800,56.851311,43.148689,22.707712
214901,70.608498,29.391504,29.287155
214902,59.923298,40.076702,36.35413
215101,31.753033,68.246971,34.539223
215102,50.485435,49.514565,29.215254
216100,68.831169,31.168831,19.243128
216200,52.896725,47.103275,24.828018
216300,60.794472,39.205528,22.917078
216401,72.124756,27.875244,32.84251
216402,73.829201,26.170799,35.403122
216700,56.928406,43.071594,21.797131
216800,37.243946,62.756054,16.332117
216900,49.58234,50.41766,32.36771
217001,74.811462,25.188538,23.866091
217002,67.426941,32.573059,26.175373
217100,43.690735,56.309265,24.116095
217200,37.412586,62.587414,28.621466
218110,48.764629,51.235371,44.246262
218120,26.306435,73.693565,54.898518
218210,29.049112,70.95089,47.957905
218220,31.04925,68.950752,40.679443
218300,55.165817,44.834183,27.123335
218400,45.308926,54.691074,30.559441
218500,48.108109,51.891891,32.813053
218600,47.577854,52.422146,33.604652
218701,47.713718,52.286282,20.347897
218702,32.439678,67.560318,34.251606
218800,43.405678,56.594322,44.38681
218900,27.616646,72.383354,27.213451
219010,39.496613,60.503387,38.344471
219020,43.59137,56.40863,36.865498
219300,25.5716,74.428398,37.491539
219500,59.90099,40.09901,23.393167
219700,38.951756,61.048244,40.167465
219800,40.252037,59.747963,44.609787
219901,31.151119,68.848885,40.787716
219902,32.924107,67.07589,44.466503
220000,49.909473,50.090527,28.797358
220100,71.325302,28.674698,18.067043
221110,24.078947,75.921051,62.346184
221120,28.909952,71.09005,54.89431
221210,39.750328,60.249672,50.363998
221220,28.170782,71.829216,63.167637
221302,18.21253,81.787468,59.666485
221303,25.533333,74.466667,57.405281
221304,43.598618,56.401382,54.090908
221401,32.955536,67.044464,36.194382
221402,39.471512,60.528488,41.387558
221500,42.42247,57.57753,44.103226
221601,38.313953,61.686047,49.340218
221602,26.488592,73.511406,56.616257
221710,25.698757,74.301239,48.936169
221810,24.532373,75.467628,49.785099
221820,10.021552,89.978447,57.963772
221900,27.480917,72.519081,43.76392
222001,44.53941,55.46059,34.856007
222002,39.587334,60.412666,44.378193
222100,33.618843,66.381157,39.276703
222200,26.377743,73.622261,45.068726
222500,33.420254,66.57975,42.360088
222600,35.693462,64.306541,43.417721
222700,15.752625,84.247375,22.57045
224010,34.195065,65.804932,40.29356
224020,16.597164,83.402832,47.636074
224200,23.021584,76.978416,62.638264
224310,17.413794,82.586205,52.992233
224320,20.454546,79.545456,48.746357
224410,24.7929,75.2071,49.720505
224420,25.228216,74.771782,48.983738
