Area,LA_Crimes
137302,12.38938
137401,20.97105
137402,15.414258
137501,37.912357
137502,43.47826
137504,12.333498
138000,16.258446
139001,17.515274
139200,17.691208
139301,16.115871
139302,15.002143
139303,24.858757
139401,38.511749
139402,30.967293
139502,26.02108
139503,16.689608
139504,23.222883
139600,25.66868
139701,26.14642
139702,14.019463
139703,12.256669
139801,9.9067602
139802,12.326656
141101,18.59202
141102,13.680347
141201,29.397705
141202,16.783216
141302,28.760675
141303,18.939394
141304,33.773411
141400,28.899183
141500,13.726147
141600,10.341511
141700,17.724783
143100,23.080439
143200,19.563007
143300,15.625
143400,28.175592
143500,11.04503
143602,15.436667
143603,11.125946
143604,47.048512
143700,43.298401
143800,32.117584
143901,36.761173
143902,15.984016
181000,18.335226
181300,11.464968
181400,25.330158
181500,19.319939
181600,8.4196892
183101,26.953444
183103,12.646793
183104,16.222961
183220,17.245241
183221,19.924099
183222,11.271676
183300,25.260029
183401,18.93004
183402,15.706806
183510,19.833399
183520,16.518091
183610,22.792023
183620,21.654135
183701,17.548454
183702,9.8400984
183810,30.411024
183820,15.5
185100,17.978922
185202,12.726383
185203,18.495684
185204,16.904385
185310,14.02306
185320,37.419815
186100,8.8514681
186201,21.864561
186202,16.740522
186203,10.176391
186301,11.279408
186302,14.647416
186401,35.931454
186403,13.675784
186404,19.120459
187101,16.574585
187102,28.834721
187200,18.684872
187300,20.939087
188100,22.866259
188201,19.484241
188202,19.039377
188300,8.5920181
189101,17.09062
189102,18.147684
189201,20.700151
189202,16.336056
189300,19.028202
189400,12.524907
189500,24.21368
189600,28.050491
189701,16.710182
189702,45.669292
189800,32.41206
189902,24.338827
189903,0
189904,37.728355
189905,33.195023
190100,107.26932
190201,100.53111
190202,52.666229
190301,15.228426
190401,23.180752
190402,9.3656874
190510,28.216259
190520,7.0511208
190700,130.33034
190801,52.287582
190802,47.407406
190901,31.557743
190902,18.458698
191000,64.7463
191110,28.687338
191120,13.970749
191201,49.957664
191203,30.512169
191204,17.891684
191301,27.944111
191302,51.143452
191410,16.545204
191420,17.927761
191500,29.03396
191610,28.349337
191620,24.390244
191710,14.665757
191720,18.819283
191810,13.424736
191820,27.215889
191901,45.428734
191902,15.593895
192001,42.105263
192002,19.562716
192300,10.679957
192410,9.1208515
192420,17.379051
192510,22.367702
192520,13.69863
192610,16.48237
192620,31.524122
192700,22.048939
194101,31.448538
194102,17.118778
194200,19.193857
194300,15.541265
194401,23.133118
194402,26.395632
194500,77.70961
195100,10.117361
195201,16.915422
195202,14.211137
195300,13.421053
195400,24.847527
195500,14.6282
195600,30.293941
195710,22.36622
195720,27.440395
195802,21.113943
195803,19.10828
195804,13.104013
195901,16.471607
195902,10.411502
195903,16.407598
197200,7.2258062
197300,17.629025
197410,10.732617
197420,24.298525
197500,21.119593
197600,19.777504
197700,15.289336
199000,29.613579
199110,15.2
199120,20.963425
199201,15.772871
199202,17.73399
199300,16.87289
199400,21.271881
199700,23.961176
199800,18.818819
199900,24.27363
201110,12.043658
201120,12.212644
201200,17.293234
201301,28.122166
201302,11.500547
201401,16.578896
201402,13.424249
201501,20.717722
201503,26.788433
201504,19.569471
201601,12.5
201602,22.030981
201700,10.057961
203100,17.487738
203200,21.73913
203300,118.37709
