Area,Median_Rent_Price
123601,1256
123602,1270
123700,1233
123800,1282
123901,1268
123902,1389
124000,1443
124102,1219
124103,1101
124104,1103
124105,1115
124201,1235
124203,1206
124204,1116
124300,1031
124400,1274
124500,1446
124600,1393
124700,1442
124902,1172
124903,1322
125100,1218
125200,1291
125310,1220
125320,1270
125401,1385
125402,1452
125501,1299
125502,1353
125600,1462
127102,1155
127103,1029
127104,1160
127210,1088
127220,1000
127300,1042
127400,1083
127520,979
127603,1133
127604,1045
127605,1203
127606,1161
127711,1123
127712,1016
127803,968
127804,1038
127805,993
127806,959
127910,1128
127920,1168
128101,1190
128102,1132
128210,1078
128220,1124
128302,1033
128303,1124
128400,1431
128500,1384
128601,1148
128602,1305
128702,1515
128801,1211
128802,1550
128910,1484
131010,1231
131020,1165
131100,1782
131200,2040
131300,2171
131400,1210
131600,1877
131701,1195
131702,1400
131800,1187
131900,2077
132001,1191
132002,1491
132101,1357
132102,1120
132300,993
132501,1224
132502,833
132700,1104
132900,1605
133000,1557
133100,1341
134001,1201
134002,1118
134101,1146
134103,1182
134104,1293
134201,1450
134302,2342
134303,1578
134305,1159
134306,1373
134421,3253
134422,2423
134423,2119
134424,2183
134520,1090
134521,1247
134522,1024
134710,1072
134720,1216
134800,1661
134901,1331
134903,1516
134904,943
134905,1927
135102,2693
135111,1888
135113,2034
135114,1565
135201,2193
135202,2619
135203,2581
137000,1983
137103,1766
137104,3190
137201,1610
137301,2843
137302,2482
137401,2332
137402,1930
137501,1685
137502,2452
137504,
138000,2828
139001,1470
139200,1415
139301,2307
139302,1398
139303,1255
139401,1152
139502,1454
139503,1365
139504,1360
139600,1541
139701,2344
139702,2782
139703,2625
139801,2449
139802,3188
141101,1473
141102,1620
141201,1549
141202,1785
141302,1677
141303,1539
141304,1482
141400,1562
141500,2125
141600,2794
143100,1642
143200,1423
143300,1402
143400,1714
143500,1537
143602,1651
143603,1447
143604,1766
143700,2023
143800,1481
143901,3332
143902,1690
181000,1044
181300,1363
181400,1271
181500,1458
181600,1234
183101,1136
183103,1270
183104,1153
183220,1188
183221,1149
183222,973
183300,1341
183401,1121
183402,1161
183510,1145
183520,975
183610,1109
183620,1118
183701,1167
183702,1334
183810,1036
183820,1094
185100,1134
185202,1153
185203,1137
185204,1157
185310,1097
185320,943
186100,1276
186201,1245
186202,1174
186203,1578
186301,1077
186302,1144
186401,1064
186403,1171
186404,1105
187101,1301
187102,1093
187200,1192
187300,1496
188100,1287
188201,1455
188202,1443
188300,1587
189101,1342
189102,1425
189201,1194
189202,1564
189300,1392
189400,1726
189500,1306
189600,1353
189701,1813
189702,1748
189800,1523
189902,1476
189903,1651
189904,1431
189905,1516
190100,1187
190201,1130
190202,1225
190301,1076
190401,1126
190402,1113
190510,1096
190520,962
190700,1119
190801,905
190802,1077
190901,956
190902,955
191000,1144
191110,981
191120,992
191201,1010
191203,968
191204,1027
191301,1125
191302,1052
191410,937
191420,982
191500,1014
191610,1029
191620,1046
191710,870
191720,928
191810,1105
191820,1077
191901,1385
191902,1491
192001,1342
192002,1737
192300,1537
192410,1267
192420,1199
192510,1229
192520,971
192610,1035
192620,994
192700,1064
194101,1493
194102,2012
194200,2623
194300,2079
194401,1449
194402,1745
194500,1396
195100,2034
195201,1445
195202,1982
195300,1390
195400,1272
195500,1245
195600,1091
195710,1009
195720,987
