Area,Median_Household_Income
241201,48119.023
241202,33395.242
241300,36325.801
241400,32049.684
242000,34657.098
242100,14859.399
242200,31839.904
242300,34900.781
242600,13756.466
242700,30368.268
243000,39878.285
243100,25107.881
261101,180048.23
261102,156763.75
261200,157157.88
262100,161524.05
262200,182278.47
262301,220989.19
262302,164794.7
262303,220551.63
262400,263549.06
262501,168194.63
262601,228453.33
262604,150689.67
262704,130649.34
262706,171259.73
262802,218679.5
264000,216594.42
264102,99062.664
264103,83140.586
264301,89126.727
264302,100952.8
265100,99815.961
265201,74732.445
265202,69957.313
265301,
265303,15866.978
265304,17966.895
265305,26538.197
265410,102638.45
265420,168459.5
265510,56609.809
265520,91570.984
265601,81555.586
265602,111885.71
265700,109427.69
267100,91940.742
267200,76759.258
267300,54751.457
267402,68468.719
267403,79731.141
267404,84003.016
267501,70122.594
267502,60502.387
267600,76813.297
267700,85849.711
267800,106238.61
267901,103714.9
267902,114557.76
269000,125540.47
269100,85899.508
269300,162842.06
269500,170773.44
269601,41588.305
269602,52353.82
269700,70009.227
269800,49932.879
269903,59348.598
269904,54987.723
269905,64580.379
269906,67950.625
269907,64379.074
270100,55652.027
270200,58596.359
270300,65953.484
271100,80963.328
271200,68122.266
271300,76982.813
271400,100024.68
271500,88143.516
271600,77628.047
271701,82446.617
271702,60892.281
271801,59199.211
271802,59020.156
271901,74710.195
271902,68255.766
272100,89862.016
272201,64452.18
272202,69171.164
272301,74164.563
272302,51465.965
273100,124592.22
273200,86457.867
273300,70456.328
273402,53719.508
273502,68086.242
273600,116905.59
273700,81480.359
273800,92495.922
273902,100753.61
274100,111472.51
274202,106197.29
275101,71185.266
275102,49046.082
275200,52218.207
275302,91613.359
275311,85470.414
275400,106646.52
275500,35615.941
275602,88462.43
275603,77872.789
276000,118443.98
276100,64314.445
276400,100273.66
276500,94219.719
276601,107053.36
276603,79931.383
276604,64067.582
277000,122146.91
277100,86153.789
277200,60167.586
277400,39951.387
278001,77784.852
278102,120984.65
291110,37314.309
291120,39486.27
291130,47235.406
291210,51705.41
291220,43642.664
291300,70947.938
292000,43754.969
293201,63022.922
293202,37047.316
293301,66391.055
293302,65650.469
293304,47938.91
293306,84273.188
293307,54299.051
294110,64479.727
294120,47992.945
294200,69480.539
294301,73924.055
294302,50178.68
294410,46251.137
294421,45706.559
294510,42605.422
294520,48214.379
294610,38224.414
294620,41316.016
294701,31157.59
294810,34913.496
294820,32868.672
294830,31829.311
294900,38406.648
295103,98565.758
296210,29420.021
296220,28284.244
296300,90706.438
296401,82596.008
296402,87739.852
296500,38974.535
296600,31530.533
296901,39525.473
296902,60765.141
297000,81729.344
297110,39970.461
297120,49443.391
297201,60419.746
297202,69396.836
297300,79714.188
297400,99581.813
297500,71304.984
297601,68204.906
297602,71807.188
300100,123193.69
300200,84152.406
300301,106641.22
300400,85570.008
300501,81194.297
300502,77762.602
300600,66120.883
300701,118374.05
300702,126055.38
300800,87682.641
300901,159482.41
300902,134423.27
301000,61466.527
301100,72036.039
301203,59698.23
301204,51082.43
301205,107500.47
301206,57654.469
301300,142561.23
301400,113442.11
301501,70411.836
301502,43055.703
301601,34580.816
301602,54515.188
301701,66483.227
301702,43872.574
301801,44772.086
301802,37126.777
301900,52974.684
302002,48125.383
302003,35442.184
302004,42909.496
302102,48008.836
302103,40111.371
302104,48726.113
302201,23652.137
302202,31992.471
302301,56581.203
302302,42433.781
302401,42692.297
302503,38213.82
302504,35056.527
302505,35095.73
302506,54993.02
310100,127078.85
310201,60223.742
310202,74682.648
310300,119956.94
310400,71185.266
310501,56450.883
310601,53866.777
310602,82428.609
310701,27466.314
