Area,Opportunity_Youth
134901,15.686275
134903,14.59854
134904,7.8778133
134905,25.581396
135102,19.370861
135111,9.9630995
135113,5.2980132
135114,21.656052
135201,5.3639846
135202,14.045801
135203,5.2631578
137000,17.623762
137103,2.9126213
137104,9.2348289
137201,17.400881
137301,4.5901637
137302,2.8520498
137401,3.2490976
137402,19.765167
137501,8.5910654
137502,7.5528703
137504,9.8522167
138000,5.352798
139001,0
139200,25.078865
139301,13.75
139302,13.211845
139303,8.8235292
139401,11.709601
139402,7.003891
139502,1.5075377
139503,5.9360728
139504,12.84153
139600,14.137931
139701,3.5377359
139702,4.2394013
139703,3.9603961
139801,3.9130435
139802,6.9892473
141101,5.9382424
141102,5.1886792
141201,25.8547
141202,8.8235292
141302,14.347826
141303,16.339869
141304,7.8740158
141400,11.111111
141500,12.565445
141600,12.827225
141700,17.692308
143100,17.467249
143200,29.118774
143300,6.1633282
143400,21.019108
143500,18.884121
143602,0
143603,26.696833
143604,18.166384
143700,27.354259
143800,22.848665
143901,13.194445
143902,20
181000,5.0772629
181300,14.784946
181400,10.648918
181500,13.214286
181600,1.0072747
183101,14.882506
183103,15.618661
183104,14.732142
183220,9.8522167
183221,2.6128266
183222,5.2795029
183300,4.7619047
183401,5.3977275
183402,5.3601341
183510,11.881188
183520,18.827709
183610,23.484848
183620,17.436975
183701,14.119601
183702,8.1794195
183810,20.292887
183820,9.6436062
185100,4.8997774
185202,15.348837
185203,13.242785
185204,7.0588236
185310,20.22472
185320,12.798265
186100,3.6764705
186201,18.907562
186202,11.836735
186203,13.333333
186301,16.317991
186302,15.686275
186401,15.180265
186403,15.476191
186404,11.818182
187101,12.654321
187102,5.8823528
187200,10.208817
187300,8.0971661
188100,16.574585
188201,12.785388
188202,7.8431373
188300,3.6649215
189101,9.2105265
189102,10.309278
189201,9.2150173
189202,18.75
189300,5.1886792
189400,1.7857143
189500,11.666667
189600,64.788734
189701,15.227273
189702,10.909091
189800,20.258621
189902,21.911423
189903,26.480837
189904,13.551402
189905,10.079576
190100,11.904762
190201,6.8268013
190202,16.843971
190301,16.27566
190401,7.6923075
190402,9.7014923
190510,20.656635
190520,9.333333
190700,16.200294
190801,13.968958
190802,9.4936705
190901,25.034966
190902,16.094421
191000,9.2929296
191110,18.100891
191120,26.095617
191201,9.1976519
191203,25.884956
191204,12.080537
191301,15.017065
191302,15.862069
191410,16.105417
191420,8.8397789
191500,20.227272
191610,11.953353
191620,14.511873
191710,21.706865
191720,23.908524
191810,25.703566
191820,7.9872203
191901,18.164436
191902,3.3707864
192001,26.455027
192002,8.3870964
192300,14.285714
192410,22.34763
192420,8.4403667
192510,6.034483
192520,15.710382
192610,34.782608
192620,21.6
192700,13.432836
194101,12.169312
194102,16.10487
194200,20.121952
194300,10.211267
194401,17.741936
194402,29.752066
194500,14.871795
195100,25.221239
195201,9.2592592
195202,8.6206894
195300,10.070257
195400,9.6000004
195500,9.1743116
195600,22.779922
195710,19.226118
195720,16.810345
195802,17.868338
195803,13.513514
195804,17.424242
195901,11.764706
195902,14.285714
195903,16.883118
197200,22.24299
197300,21.84874
197410,8.8669949
197420,13.747229
197500,9.2783508
197600,6.9565215
197700,13.648293
199000,16.300129
199110,26.640926
199120,8.3457527
199201,17.843866
199202,18.396227
199300,13.694267
199400,28.121212
199700,15.049505
199800,13.356164
199900,18.435755
201110,16.728624
201120,23.932926
201200,25.797102
201301,6.2645011
201302,3.030303
201401,14.516129
201402,16.479401
201501,19.042553
201503,13.803681
201504,8.8495579
201601,12.565445
201602,16.846653
201700,3.6681716
203100,18.3384
203200,15.527065
203300,4.7619047
203500,18.537415
203600,19.203413
203710,19.439253
203720,14.067278
203800,13.054831
203900,19.774012
204110,14.878893
204120,23.569023
204200,14.285714
204300,19.047619
204410,9.5607233
204420,37.837837
204600,20.628683
204700,10.635538
204810,13.831089
204820,29.292929
204910,22.891565
204920,12.682927
205110,15.692822
205120,14.507772
206010,18.579235
206020,31.464968
206031,7.1005917
206032,12.253829
206050,22.885572
206200,25
206300,59.599998
207101,8.2978725
207102,12.781955
207103,9.3596058
207301,15.384615
207302,24.767801
207501,7.216495
207502,21.527779
207710,21.034483
207900,10.552147
208000,14.825582
208301,5.2109179
208302,16.449511
208401,13.783403
208402,19.361702
208501,7.4918566
208502,11.69451
208610,14.647378
208620,5.7395144
208710,1.2861736
208720,18.47015
208801,18.652849
208802,26.062323
208902,22.772278
208903,21.033869
208904,12.280702
209102,15.740741
209103,16.455696
209104,19.047619
209200,15.58669
209300,10.182768
209401,21.2938
209402,20.711298
209403,16.464891
209510,13.49481
209520,18.729097
209810,25.515465
209820,21.261683
210010,14.345991
211000,2.840909
211120,11.4241
211121,16.717325
211122,8.3044987
211201,13.96648
211202,17.816092
211310,17.669172
211320,18.145161
211410,8.6021509
211420,12.684366
211500,7.5757575
211701,5.7591624
211703,18.528996
211704,11.568124
211802,6.802721
211803,16.470589
211804,15.027829
211910,10.180996
211921,35.599998
211922,29.705883
212101,10.064935
212102,9.090909
212202,22.495274
212203,7.816092
212204,15.404699
212303,21.511627
212304,23.049644
212305,17.117117
212306,12.4498
212410,19.011406
212420,18.066158
212501,15.102041
212502,15.151515
212610,14.146341
212620,18.72146
212701,18.220339
212702,15.476191
212800,5.7657657
212900,14.634147
213100,15.512465
213201,17.462933
213202,13.571428
213310,13.970589
213320,37.751003
213401,20.625
213402,25.520834
214000,8.7349396
214100,12.59542
214400,26.190475
214501,18.972332
214502,6.0542798
214503,10.079576
214600,23.232323
214700,14.02439
214800,10.196078
214901,0
214902,22.250639
215101,10.992908
215102,16.71159
216100,2.6490066
216200,28.375286
216300,16.571428
216401,16.043957
216402,20.79208
216700,26.065163
216800,6.3157897
216900,28.270042
217001,4.6948357
217002,18.330606
217100,14.205607
217200,14.806378
218110,12.947659
218120,17.938931
218210,21.311476
218220,5.5118113
218300,35.502121
218400,16.820988
218500,23.397436
218600,8.1240768
218701,19.660194
218702,9.3548384
218800,20.717131
218900,10.259434
219010,13.806706
219020,10.634921
219300,12.64637
219500,8.1730766
219700,13.616398
219800,18.201284
219901,13.275862
219902,18.532818
220000,13.857142
220100,4.7619047
221110,16.067654
221120,15.968064
221210,13.74269
221220,20.802006
221302,26.417234
221303,18.131868
221304,15.450644
221401,24.867725
221402,12.84153
221500,19.662922
221601,20
221602,21.158129
221710,16.605165
221810,7.0270271
221820,3.4129694
221900,2.2140222
222001,14.251781
222002,25.291182
222100,12.691466
222200,14.615385
222500,14.195184
222600,6.5893836
222700,0.2674512
224010,11.803279
224020,13.744076
224200,11.174785
224310,28.089888
224320,19.191919
224410,7.7456646
224420,13.774597
224600,16.007906
224700,0.78726071
226001,19.03409
226002,25.862068
226410,10.674157
226420,21.257484
226700,18.549128
227010,10.191083
227020,17.307692
228100,24.655964
228210,19.23077
228220,18.170425
228310,17.462933
228320,14.316239
228410,17.304747
228420,31.194296
228500,25.160461
228600,19.74299
228710,18.967922
228720,20.813772
228800,18.050941
228900,20.877193
229100,16.579634
229200,23.989899
229300,17.721519
229410,20.573357
229420,18.918919
231100,28.232759
231210,21.723518
231220,15.882353
231300,13.612565
231400,21.832062
231500,19.160583
231600,11.089682
231710,19.801981
231720,19.358408
231800,11.378205
