Area,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Under_Age_18
109100,10.976533,8.7433758,13.890991,12.225587,10.06813,26.53293,17.562452
109200,6.2316713,15.249267,18.804985,10.080646,12.683285,12.719941,24.230206
109300,7.5766339,13.360324,15.095431,14.979757,9.9768648,15.991903,23.019087
109400,12.192263,12.954279,9.7596722,17.790152,10.521688,17.174677,19.607269
109500,13.548112,18.369959,9.7077017,10.027737,9.3449965,10.603798,28.397696
109601,10.814071,16.0201,10.994975,14.231155,13.56784,13.065327,21.306532
109603,11.461594,11.196725,16.229233,15.916205,13.773176,10.787383,20.635685
109604,14.09179,12.411119,16.645119,12.249516,12.960568,12.798965,18.842922
109700,10.49055,16.840094,9.386282,15.523466,9.6835842,15.50223,22.573795
109800,11.335012,12.013176,17.322224,11.160627,13.582639,14.357682,20.228638
111100,11.939375,7.4543767,13.516857,19.084442,11.846582,13.300341,22.858027
111201,7.3516388,14.02421,8.1192799,14.644228,18.571007,19.98819,17.301447
111202,10.509383,9.8659515,12.546917,14.423593,11.510277,16.496872,24.647007
111204,8.9173002,9.0305872,9.9854345,14.614016,16.701731,20.780062,19.970869
111205,13.684211,10.576441,17.318296,9.4486217,10.150376,13.483709,25.338346
111206,6.0459237,7.225616,16.389299,14.345902,13.355803,21.718981,20.918474
111301,11.78396,13.282135,14.755131,17.134584,12.979982,8.3847408,21.679466
111302,18.962818,14.168298,6.6144814,12.97456,13.913895,16.614481,16.751469
111400,9.2421913,12.083973,17.255505,16.039427,11.623144,14.925756,18.830006
113101,12.30169,4.5513654,9.5448637,20.624187,12.743823,20.390118,19.843954
113102,9.6153851,8.1233425,13.196286,14.356764,18.435013,19.860743,16.412466
113211,4.4802866,9.7286224,12.467998,14.516129,18.023554,23.579109,17.204302
113212,7.3037128,11.716372,12.294583,20.602556,13.298843,16.068169,18.715763
113213,7.7428937,15.591854,14.891811,12.961391,12.028002,17.394993,19.389053
113231,7.1875,4.1964288,11.964286,16.830357,15.892858,22.008928,21.919643
113232,5.7907434,9.7170429,14.608467,16.779995,10.484756,22.680412,19.938583
113233,9.2845297,18.441525,18.173702,13.50593,4.1958933,5.930366,30.468052
113234,8.937459,14.953473,12.096949,15.38628,8.8508978,14.04458,25.730362
113235,8.289855,13.449275,13.623188,16.57971,16.869566,14.84058,16.347826
113237,8.5693712,10.945751,11.473836,15.698512,15.290446,22.011522,16.010561
113301,9.1063108,10.122829,9.9110546,15.840745,11.308767,23.506989,20.203304
113303,8.5829763,12.482168,10.508797,15.810746,13.100333,18.164526,21.350452
113321,5.4102154,23.812067,13.561131,16.355223,15.66115,5.819541,19.380672
113322,7.3678861,9.9085369,13.643292,15.091463,18.572155,21.112804,14.303862
113401,8.8167057,16.598251,9.958951,17.115831,12.475459,13.938961,21.095842
113421,11.410368,15.638576,15.320011,12.785983,8.9053001,6.9939184,28.945845
113422,7.4040899,18.599791,11.583818,17.30109,16.017317,8.971488,20.122406
115101,9.7702255,7.0476928,8.283452,16.354509,15.369762,24.580034,18.594324
115103,86.300964,6.893517,2.6400704,1.2026987,0.26400703,0.20533881,2.4933999
115104,34.990749,15.379278,10.175763,11.517114,5.2728953,9.8751154,12.789084
115201,21.964365,22.57823,11.768229,6.3931727,10.720168,12.501871,14.073963
115202,15.921053,23.618422,13.179825,10.964912,11.22807,10.921053,14.166667
115301,12.889105,8.4143972,11.867704,13.642996,14.275291,19.2607,19.649805
115302,13.771235,13.635334,13.204983,12.616081,7.5198188,8.6749716,30.577576
115401,7.2037439,16.931305,15.594184,15.895036,8.7581482,8.9085741,26.709009
115403,13.142858,19.914286,11.8,11.542857,10.828571,10.171429,22.6
115404,10.617028,16.16684,13.891762,10.27232,13.409169,10.099965,25.542915
117101,10.153959,15.79912,15.780792,14.406158,13.654692,6.2683287,23.936951
117102,10.709117,16.678726,10.962374,19.898697,9.0810423,13.277858,19.392185
117201,11.578947,13.705693,14.371643,12.760472,8.0128889,10.354458,29.215897
117202,7.3349633,13.406683,14.955175,10.554197,17.033415,17.074165,19.641401
117301,10.10049,14.867302,10.615821,17.856222,11.620716,14.377738,20.56171
117302,7.8656125,13.043478,11.897233,16.581028,13.952569,15.474308,21.18577
117303,11.054193,11.350768,18.738205,13.966028,15.880291,11.458614,17.551901
117404,8.5775557,14.05766,15.225161,18.703836,14.033834,11.5797,17.822254
117405,13.803039,18.910425,14.143531,12.650602,4.7668939,2.3834469,33.342064
117407,12.953643,18.437086,12.556292,14.543046,4.1324501,2.1192052,35.258278
117408,11.470216,14.892269,16.730038,13.688213,5.6400509,4.7528515,32.826363
117510,14.766971,14.893617,14.387032,9.9544077,7.598784,3.7234042,34.675785
117520,12.000998,19.560879,13.747505,8.0339317,7.3602796,3.2684631,36.027943
117530,16.414654,15.978176,11.67576,13.203429,4.7856588,5.5183163,32.424007
119001,10.175082,16.747019,13.042375,12.230398,12.052778,11.037807,24.714539
119002,9.1077013,18.172777,13.483944,15.117931,10.329639,10.983233,22.804773
119201,12.556732,17.725668,14.926879,12.531518,9.1023703,8.4720125,24.68482
119202,10.985277,16.03624,12.208381,13.408834,10.079275,12.842582,24.439411
119310,11.658499,11.813257,15.243745,11.864844,9.6724272,14.831055,24.916172
119320,9.3930635,22.357555,7.8654003,11.168456,11.519405,5.0784473,32.617672
119340,11.666224,17.698645,16.290194,9.7262821,3.1357958,3.5344141,37.948444
119341,13.500897,16.588869,11.669659,12.998204,9.9102335,12.172352,23.159784
119342,11.740891,14.574899,14.401388,15.789474,8.0682478,4.829381,30.59572
119400,11.210354,14.21801,12.449872,18.920889,13.652935,8.0204153,21.527525
119700,6.3678255,15.312107,13.720151,15.87767,14.076246,11.332216,23.313784
119800,14.70906,15.311005,12.94953,16.02099,8.5815716,9.5385094,22.889336
119900,8.3685217,15.6238,13.589252,14.069098,10.556622,9.731286,28.06142
120010,10.254572,19.182503,13.194694,12.656866,10.577268,6.4539261,27.680172
120020,12.899212,14.952302,14.765657,12.650352,7.8390708,6.3459144,30.547491
120030,10.432368,14.280047,15.866719,12.098373,7.5366917,6.5053549,33.280445
120103,11.505508,19.736841,14.351285,9.8837214,3.3047736,1.4075887,39.81028
120104,13.52459,19.225037,12.108793,11.065574,9.7988081,6.1847987,28.0924
120105,11.710165,13.221154,14.320055,12.362638,7.6236262,14.697803,26.06456
120106,12.374866,13.588924,19.680511,9.158679,8.7965918,5.4100108,30.990416
120107,15.645908,14.745239,16.881111,9.6500254,5.9186826,3.1137416,34.045292
120108,9.8095436,17.161581,13.639156,19.04567,8.0892897,5.8570552,26.397707
120300,8.7189569,14.757906,11.381097,14.793639,15.347507,11.184563,23.81633
120400,13.331434,17.632816,14.214499,12.035322,9.2152119,11.608033,21.962683
121010,8.215661,15.019256,12.516047,18.314077,11.446299,10.63329,23.85537
121020,13.262033,14.385027,11.550802,20.187166,8.9839573,10.347593,21.283422
121101,6.6624365,24.873096,12.563452,13.737309,9.4543152,8.5659895,24.1434
121102,7.4003067,13.803681,10.812883,15.260736,12.5,15.490798,24.731596
121210,11.121525,15.245235,11.402687,12.433615,11.965011,14.807873,23.024055
121221,10.807292,17.881945,15.92882,12.934028,11.675347,9.9826393,20.78993
121222,13.568521,16.030239,13.02578,8.6644697,10.001939,3.9736383,34.735413
121600,8.8301039,17.026825,10.730253,20.678093,11.773473,16.579731,14.38152
121801,16.290274,14.393255,19.211081,11.141223,9.9367657,6.2330623,22.794338
121802,11.299111,16.747921,11.87267,17.063377,13.421279,9.6931458,19.902494
121900,15.375587,14.483568,14.906103,16.056337,8.7323942,12.276996,18.169014
122000,12.491909,15.12945,14.789644,11.18123,13.398058,15.53398,17.475729
122120,12.539185,18.704285,11.724138,12.831766,13.249739,5.9770117,24.973877
122121,9.2672415,13.21839,13.721265,11.602012,13.074713,11.997127,27.119253
122122,13.269946,13.145928,14.055395,10.624225,10.706903,7.7718067,30.425797
122200,13.245509,14.754491,14.395209,11.832335,12.431138,7.6407185,25.7006
122410,13.6517,18.50506,14.06696,10.952504,7.0075264,7.7861404,28.030106
122420,8.8127556,14.350355,14.027149,15.578539,10.450334,5.5591469,31.22172
123010,12.871972,17.600924,14.602077,13.26413,7.750865,5.2595158,28.650518
123020,14.048424,18.412163,19.538288,10.641891,10.670045,6.8975224,19.791666
123103,9.8888102,15.235392,13.555714,17.151644,7.6176958,10.858765,25.69198
123104,10.359944,16.243654,11.098292,15.274573,13.936317,11.905861,21.181356
123203,14.030819,14.679643,15.544742,9.4079485,9.0835361,5.7583132,31.494999
