Area,Divorced_Separated,Married,Never_Married,Widowed
241001,10,29,57,3
241002,14,34,45,7
241110,11,32,52,6
241120,12,26,58,5
241201,11,34,48,7
241202,14,34,47,5
241300,8,38,52,2
241400,6,37,54,4
242000,11,29,55,5
242100,8,24,62,5
242200,11,33,53,4
242300,9,30,59,2
242600,8,21,69,2
242700,13,29,55,4
243000,7,35,55,4
243100,12,32,52,5
261101,12,62,23,3
261102,9,63,23,6
261200,8,57,30,5
262100,12,61,22,5
262200,8,65,20,6
262301,8,50,39,3
262302,15,54,26,4
262303,10,62,21,8
262400,7,72,15,5
262501,13,60,21,6
262601,7,71,19,3
262604,9,64,20,7
262704,14,56,26,4
262706,9,63,24,4
262802,11,67,18,4
264000,8,61,25,6
264102,14,33,51,3
264103,11,36,50,2
264301,8,30,57,5
264302,15,34,44,7
265100,11,43,25,21
265201,7,31,57,6
265202,9,35,47,9
265301,0,0,100,0
265303,0,2,98,0
265304,1,3,96,1
265305,3,11,86,0
265410,19,40,37,4
265420,7,55,34,4
265510,9,20,69,2
265520,11,38,46,5
265601,14,41,42,4
265602,8,55,28,9
265700,13,42,40,4
267100,8,41,46,5
267200,15,39,42,4
267300,9,29,58,4
267402,12,29,56,3
267403,9,24,65,2
267404,11,31,56,2
267501,12,39,49,1
267502,11,29,58,2
267600,13,36,47,4
267700,6,37,55,3
267800,7,51,33,9
267901,12,50,21,17
267902,14,42,39,5
269000,12,55,27,6
269100,10,45,38,7
269300,9,66,21,4
269500,6,69,19,7
269601,16,36,43,5
269602,13,29,51,7
269700,9,45,43,2
269800,12,30,53,4
269903,9,36,54,2
269904,18,21,59,2
269905,7,34,58,1
269906,14,43,42,1
269907,15,28,57,1
270100,12,32,55,1
270200,14,33,47,6
270300,13,36,48,3
271100,10,53,34,4
271200,8,37,54,1
271300,9,43,44,4
271400,10,59,26,5
271500,13,48,29,9
271600,8,53,37,2
271701,11,36,49,3
271702,7,50,41,2
271801,8,27,62,2
271802,15,30,53,2
271901,8,37,51,4
271902,11,48,38,3
272100,11,55,30,5
272201,8,29,60,3
272202,13,35,51,1
272301,13,35,46,6
272302,9,36,49,5
273100,9,49,38,4
273200,15,30,51,4
273300,11,29,59,1
273402,15,23,61,1
273502,11,30,57,2
273600,14,47,37,3
273700,9,45,44,2
273800,12,33,51,4
273902,15,30,53,3
274100,23,27,46,4
274202,17,49,30,4
275101,10,42,46,2
275102,7,44,46,3
275200,8,38,51,2
275302,17,38,36,9
275311,10,43,45,2
275400,11,42,43,3
275500,12,39,46,3
275602,8,38,52,2
275603,17,38,37,8
276000,11,52,28,9
276100,18,26,52,4
276400,9,48,38,5
276500,2,15,81,1
276601,7,52,36,5
276603,17,31,49,3
276604,9,30,56,4
277000,9,59,25,7
277100,10,52,33,4
277200,13,28,58,1
277400,17,26,54,3
278001,12,46,37,4
278102,19,44,32,4
291110,10,26,60,5
291120,11,39,48,2
291130,10,43,40,7
291210,12,36,46,5
291220,7,47,39,7
291300,10,51,31,9
292000,11,33,53,2
293201,12,44,42,3
293202,9,45,44,2
293301,10,55,31,5
293302,10,45,40,5
293304,15,36,43,5
293306,7,51,38,5
293307,15,32,50,2
294110,11,42,42,5
294120,10,42,46,2
294200,14,42,38,5
294301,8,47,37,8
294302,9,35,49,6
294410,16,37,44,3
294421,15,34,48,2
294510,8,42,45,5
294520,9,42,46,4
294610,12,36,46,6
294620,7,41,45,7
294701,11,34,51,5
294810,12,34,51,3
294820,14,37,46,4
294830,10,43,44,3
294900,12,33,51,4
295103,8,57,31,5
296210,15,36,43,7
296220,15,31,51,4
296300,18,48,29,5
296401,11,51,31,7
296402,16,45,34,4
296500,15,39,43,4
296600,19,25,52,4
296901,19,36,40,5
296902,12,42,41,5
297000,15,53,26,6
297110,17,28,50,4
297120,11,38,48,3
297201,7,35,53,5
297202,19,39,37,5
297300,7,56,27,10
297400,11,60,22,7
297500,15,46,31,8
297601,23,43,31,3
297602,20,38,38,4
300100,8,57,30,5
300200,11,57,27,5
300301,10,57,30,3
300400,10,53,33,5
