Area,Total_Population
301501,1860
301502,6966
301601,6492
301602,4064
301701,2901
301702,5904
301801,4508
301802,3479
301900,7966
302002,3968
302003,3834
302004,4405
302102,5771
302103,5862
302104,4028
302201,4086
302202,5122
302301,4359
302302,5138
302401,5887
302503,4573
302504,4409
302505,4503
302506,3520
310100,5813
310201,5797
310202,5000
310300,2853
310400,3174
310501,3474
310601,6502
310602,2519
310701,2488
310702,7454
310703,5305
310800,5446
310900,6221
311000,4037
311100,4044
311200,3230
311300,3849
311400,2219
311500,5441
311600,7224
311700,5800
311801,2978
311802,3857
320000,
320100,7828
320201,3712
320202,6017
320300,6739
400204,6316
400205,3284
400206,5370
400207,4835
400302,3047
400304,6998
400402,4224
400403,4090
400404,4372
400501,2100
400602,4288
400603,5150
400604,3194
400800,6113
400900,4312
401001,3201
401002,4010
401101,5568
401102,2921
401201,3327
401202,4727
401203,5595
401303,2460
401304,5832
401311,6389
401312,5678
401500,5967
401601,5149
401602,5964
401603,2646
401701,4347
401703,4703
401704,5733
401800,7909
401901,3977
401902,5690
402001,3284
402002,4369
402101,4998
402102,5200
402200,6959
402301,5777
402303,4553
402304,4041
402402,6454
402403,5454
402404,2042
402405,2995
402406,4734
402501,5657
402502,6932
402600,6999
402702,6487
402703,4714
402705,3551
402706,4180
402801,5192
402803,3403
402804,4308
402902,6486
402903,4517
402904,3581
403000,7118
403200,738
403303,2851
403304,4985
403305,2137
403312,5090
403316,7095
403317,4514
403318,6106
403319,4418
403320,5369
403321,6239
403322,4001
403323,5433
403324,6684
403325,4852
403401,5552
403402,3609
403403,4949
403404,2636
403405,1812
403406,2913
403407,2104
403408,6395
403500,1879
403600,7082
403702,3773
403703,4939
403721,4921
403722,5810
403801,6261
403802,5972
403901,3437
403902,4961
404000,4904
404100,6315
404201,3752
404202,3959
404301,5793
404302,2054
404401,3819
404402,4607
404501,2576
404503,3077
404504,5058
404600,1426
404701,5672
404702,6247
404703,3491
404801,7763
404802,4657
404803,1648
404901,5813
404902,4462
404903,3004
405001,6257
405002,3364
405101,4821
405102,4218
405201,5319
405202,5285
405203,3813
405301,3486
405302,6055
405400,5569
405500,6847
405600,5795
405701,3633
405702,4896
405800,5832
405900,3842
406000,5185
406101,3551
406102,5545
406200,5817
406300,5575
406402,2243
406411,2003
406412,2554
406500,6408
406601,5648
406602,5717
406701,3504
406702,6043
406800,4743
406901,4796
406902,3641
407001,5976
407002,3740
407101,4831
407102,5433
407200,7123
407301,4779
407302,3905
407400,2091
407501,4510
407502,4105
407601,4460
407602,3933
407701,5253
407702,6837
407801,5241
407802,3878
407900,6493
408003,4807
408004,2268
408005,4791
408006,3850
408133,5879
408134,2699
408135,3925
408136,3718
408137,4218
408138,6355
408139,4543
408140,3671
408141,5445
408202,2008
408211,5955
408212,5078
408301,5619
408302,4060
408303,4363
408401,4577
408402,5363
408501,3192
408503,6461
408504,5162
408505,2880
408623,3345
408624,3370
408625,4295
408626,4606
408627,3011
408628,5416
408629,2749
408630,2701
408631,5427
408703,6513
408704,3151
408705,5525
408706,1897
408722,4633
408723,2897
408724,5559
408800,3896
430002,7100
430003,4426
430101,5023
430102,5220
430200,1051
430301,4469
430302,5984
430400,4570
430501,4236
430502,6848
430600,4312
430701,5054
430721,3480
430723,4685
430724,5041
430801,6934
430802,4076
430803,5232
430901,4397
430902,4670
431001,7279
431002,3330
431100,6962
431200,6091
431300,2763
431400,3731
431501,4557
431502,4425
431600,3991
431700,6669
431800,5788
431900,4272
432000,8129
432101,4332
432102,5378
432201,4151
432202,4464
432300,4305
432401,3978
432402,7000
432500,8472
432601,6652
432602,4611
432700,5279
432801,3005
432802,5283
432901,4818
432902,3641
433101,2497
433102,4807
433200,6482
433302,1859
433304,4714
433305,5196
433306,3210
433307,3188
433401,3183
433402,4329
433403,4598
433501,1915
433503,2868
433504,4601
433601,4793
433602,2685
433700,3813
433801,6373
433802,3119
433901,5694
433902,3684
434001,4845
434003,4476
434004,2912
460000,4746
460100,5936
460200,5757
460301,4431
460302,4483
460401,948
460501,5548
460502,4523
460600,4645
460700,5045
460800,3165
460900,6863
461000,6608
461100,4969
461200,4623
461300,7034
461400,3248
461501,4182
461502,7330
461600,6223
461700,1475
461901,5202
461902,1573
462001,3893
462002,4174
462100,5668
462201,3608
462202,2907
462301,4500
462302,2774
462400,4375
462500,6176
462600,2203
462700,5433
462800,2495
462900,3803
463000,2158
463101,2404
463102,3659
