Area,College_Graduation_Rate,Less_Than_High_School
137104,48.547512,2.904973
137201,47.164322,5.8894815
137301,48.987591,4.4415417
137302,55.839752,2.0030816
137401,51.968243,6.4174662
137402,42.106606,5.1262431
137501,55.063522,4.1742287
137502,56.174648,1.010101
137504,57.660522,4.1958041
138000,53.002754,2.8099174
139001,54.53326,6.0085835
139200,42.165897,3.7890425
139301,42.339603,7.7986727
139302,34.813709,5.6631894
139303,32.651779,8.6190624
139401,34.662998,13.0674
139402,52.977734,4.8161573
139502,61.224491,7.8231292
139503,48.035229,9.0334234
139504,40.989662,6.3515511
139600,59.533073,1.2506949
139701,62.22464,7.3429427
139702,63.652969,2.4429224
139703,58.297256,2.8379028
139801,62.937595,4.6423135
139802,62.576687,6.9529653
141101,63.128799,2.1006081
141102,62.389381,2.8318584
141201,54.515491,3.6914964
141202,66.403854,4.5554094
141302,60.312298,3.2964649
141303,57.864742,1.2158055
141304,59.911716,1.4847512
141400,56.87891,2.3024445
141500,68.617737,1.7559658
141600,69.831696,1.9371229
141700,61.427967,2.1968737
143100,56.734142,3.7516868
143200,59.133526,5.0113158
143300,50.286278,4.0473838
143400,55.189621,2.7944112
143500,64.122566,5.7938719
143602,60.867252,5.2407556
143603,63.681049,2.6761332
143604,63.978287,2.4428072
143700,65.535774,1.4444071
143800,64.720497,1.0931677
143901,65.581245,4.6890264
143902,69.017738,0.77888358
181000,49.183376,8.2075663
181300,53.303509,9.8417072
181400,38.673187,11.831244
181500,37.371662,13.381246
181600,37.770897,12.516585
183101,33.308041,26.479515
183103,17.877094,32.332401
183104,34.146343,22.129684
183220,17.355932,34.135593
183221,31.746811,16.781158
183222,37.438049,18.14716
183300,23.001701,25.807823
183401,25.363583,25.887144
183402,34.411453,26.086956
183510,21.313433,27.880596
183520,18.96916,42.374313
183610,13.73944,44.908848
183620,20.858585,31.616161
183701,19.568508,41.483723
183702,32.932262,27.450981
183810,21.04137,44.650497
183820,8.4802685,42.233418
185100,41.80999,23.505323
185202,33.84948,29.852358
185203,16.834051,48.637016
185204,47.328243,12.560721
185310,6.6927209,44.89497
185320,7.9175706,58.026031
186100,44.918125,10.728402
186201,42.175732,17.824268
186202,39.372326,15.905849
186203,46.729412,9.6000004
186301,17.176958,38.505447
186302,34.071789,18.199663
186401,16.093954,43.149197
186403,14.871306,34.318398
186404,19.351032,41.474926
187101,36.001789,14.221825
187102,30.274858,19.886824
187200,18.433931,38.281673
187300,58.80225,7.516077
188100,35.748791,24.879227
188201,61.79229,1.9798541
188202,61.144882,1.1144884
188300,44.156269,8.5357847
189101,55.6422,11.19266
189102,71.766502,2.5944295
189201,56.564552,11.889132
189202,66.279068,4.5116277
189300,70.506332,3.5021098
189400,69.810715,0.67372471
189500,67.902992,4.8216834
189600,65.170731,4.6504064
189701,63.969036,3.096411
189702,71.394516,1.4302741
189800,60.114613,4.6704869
189902,60.262936,5.4919424
189903,48.797813,4.6994534
189904,59.360958,2.9455817
189905,51.671089,5.0928383
190100,50.612244,7.1020408
190201,31.297266,21.756836
190202,52.873562,7.183908
190301,35.947243,13.812949
190401,49.834766,7.9973564
190402,39.460541,8.7412586
190510,32.017292,23.285303
190520,26.919338,20.310982
190700,42.363342,24.356913
190801,32.533333,21.866667
190802,35.959885,22.731615
190901,23.143166,38.823109
190902,18.520922,29.841064
191000,46.758923,15.331391
191110,24.345461,26.82761
191120,16.646563,29.433052
191201,23.910206,20.1775
191203,23.903744,31.818182
191204,26.988266,26.923077
191301,36.68951,31.154455
191302,31.683168,25.907591
191410,21.514959,39.942711
191420,21.742483,40.555126
191500,25.361542,32.512051
191610,27.766531,37.449394
