Area,Young_Adults_Enrolled_in_School
271802,53.18182
271901,16.811594
271902,28.373703
272100,56.810631
272201,44.339622
272202,44.655582
272301,45.192307
272302,37.002342
273100,38.596493
273200,42.348755
273300,59.649124
273402,25.951557
273502,7.5555553
273600,26.086956
273700,15.178572
273800,45.228214
273902,40
274100,49.087593
274202,11.904762
275101,47.692307
275102,26.035503
275200,21.513945
275302,64.634148
275311,30.63063
275400,38.728325
275500,22.702703
275602,88.552185
275603,36.464088
276000,33.684212
276100,52.340427
276400,87.887741
276500,96.85257
276601,59.950249
276603,48.010609
276604,83.398438
277000,46.60194
277100,59.649124
277200,50
277400,49.377594
278001,57.692307
278102,27.096775
291110,50
291120,30.985916
291130,40.715885
291210,56.016598
291220,51.47541
291300,48.872181
292000,40.478905
293201,53.72263
293202,32.440056
293301,54.882156
293302,50.513348
293304,44.405594
293306,25.888325
293307,35.21851
294110,32.427536
294120,54.237289
294200,32.766617
294301,33.88158
294302,23.170732
294410,44.693573
294421,40.924091
294510,49.743591
294520,46.854664
294610,36.671001
294620,30.442478
294701,45.994831
294810,36.216217
294820,35.15284
294830,20.594481
294900,30.827068
295103,67.556465
296210,14.935065
296220,26.369864
296300,70.3125
296401,52.450981
296402,62.015503
296500,38.25
296600,34.768211
296901,37.643677
296902,31.593407
297000,71.573601
297110,32.443531
297120,35.416668
297201,42.556633
297202,65.408806
297300,32.978722
297400,76.585365
297500,80.696205
297601,53.110046
297602,44.680851
300100,79.75
300200,50.213676
300301,58.86076
300400,49.743591
300501,77.112679
300502,60.246914
300600,50.606586
300701,77.215187
300702,71.021378
300800,62.715519
300901,76.354683
300902,52.100842
301000,47.5
301100,63.740459
301203,58.715595
301204,59.101124
301205,56.989246
301206,64.491364
301300,43.421051
301400,66.666664
301501,53.658535
301502,67.567566
301601,57.92453
301602,61.379311
301701,60.836502
301702,60.097721
301801,76
301802,41.634243
301900,67.034988
302002,33.480175
302003,33.606556
302004,57.2043
302102,50.429184
302103,64.757706
302104,49.850746
302201,29.372938
302202,44.837341
302301,47.123287
302302,46.641792
302401,36.643356
302503,61.717354
302504,19.822485
302505,27.61438
302506,50.167225
310100,80.122322
310201,66.005669
310202,66.732674
310300,79.89418
310400,57.714287
310501,51.48148
310601,32.686981
310602,46.42857
310701,56.48148
310702,34.305317
310703,37.243946
310800,37.823833
310900,39.423077
311000,48.095238
311100,54.711246
311200,62.146893
311300,43.961353
311400,33.870968
311500,55.991287
311600,57.814873
311700,56.993008
311801,60.483871
311802,24.64455
320000,
320100,57.627117
320201,36.799999
320202,31.406551
320300,37.721519
400204,76.459145
400205,25.949368
400206,70.859535
400207,42.077465
400302,49.746193
400304,75.450447
400402,50.406506
400403,60.655739
400404,51.449276
400501,80.568718
400602,40.78091
400603,38.785046
400604,58.510639
400800,99.140114
400900,48.012234
401001,48.961426
401002,57.109005
401101,42.226147
401102,69.620255
401201,57.632401
401202,65.148514
401203,43.701401
401303,59.064327
401304,68.35067
401311,66.755676
401312,62.900764
401500,68.632072
401601,63.771713
401602,59.098499
401603,40.76923
401701,78.369904
401703,57.454544
401704,40.846996
401800,88.972427
401901,99.710648
401902,41.764706
402001,31.746031
402002,56.830601
402101,44.327484
402102,49.208443
402200,30.345911
402301,35.220837
402303,38.095238
402304,38.921001
402402,57.854404
402403,93.371758
402404,99.792099
402405,49.754902
402406,40.946167
402501,38.496071
402502,40.415337
402600,35.805992
402702,31.050768
402703,36.503498
402705,46.997391
402706,30.784313
402801,23.381771
402803,50
402804,47.388783
402902,29.8627
402903,12.337663
402904,58.007813
403000,45.220589
403200,
403303,58.303886
403304,72.080292
403305,56.284153
403312,70.385399
403316,53.911564
403317,80.350876
403318,57.284302
403319,69.398911
403320,60
403321,62.075134
403322,67.039108
403323,69.199181
403324,58.004158
403325,63.715279
403401,44.505493
403402,65.408806
403403,81.898453
403404,62.202381
403405,72.932327
403406,66.568916
403407,88.047806
403408,76.909721
403500,51.724136
403600,39.12484
403702,53.252033
403703,50.442478
403721,51.081081
403722,31.524548
403801,66.666664
403802,51.016636
403901,46.527779
403902,61.594204
404000,41.656052
404100,37.403599
404201,58.463951
404202,91.289894
404301,34.947643
404302,27.932961
404401,47.058823
404402,59.610027
404501,36.07143
404503,43.670887
404504,40.707966
404600,42.196533
404701,44.932434
404702,62.147652
404703,40.340908
404801,53.658535
404802,33.638027
404803,48.850574
404901,53.638813
404902,49.61977
404903,43.333332
405001,45.428295
405002,47.154472
405101,42.024014
405102,50.980392
405201,56.536503
405202,49.709866
405203,55.723541
405301,50.391644
405302,38.04213
405400,46.526657
405500,62.64151
405600,60.804768
405701,57.51503
405702,42.384106
405800,57.950531
405900,34.669811
406000,52.896343
406101,58.644859
406102,32.358673
406200,61.330563
406300,59.740261
406402,41.516247
406411,72.608696
406412,74.439461
406500,67.040359
406601,62.082516
406602,34.672619
406701,56.067963
406702,45.818611
406800,60.560749
406901,70.488319
406902,39.378239
407001,46.337818
407002,28.846153
407101,43.062202
407102,37.850468
407200,34.605911
407301,51.145958
407302,52.993347
407400,43.369175
407501,38.131313
407502,45.434299
407601,72.765076
407602,46
407701,52.873562
407702,58.227848
407801,34.254993
407802,40.980392
407900,52.109703
408003,39.952717
408004,28.125
408005,45.325203
408006,57.430729
408133,54.862385
408134,57.009346
408135,38.51852
408136,73.553719
408137,46.694214
408138,19.924337
408139,24.789207
408140,37.5
408141,37.183544
408202,49.110321
408211,59.205776
408212,76.043556
408301,35.596027
408302,55.454544
408303,40.201004
408401,39.647575
408402,60.431656
408501,63.157894
408503,64.202332
408504,67.547173
408505,41.42857
408623,50.450451
408624,58.71212
408625,70.996979
408626,45.964127
408627,57.666668
408628,38.125
408629,49.101795
408630,52.287582
408631,46.197182
408703,73.053894
408704,56.291389
408705,59.631149
408706,43.835617
408722,72.451195
408723,68.953072
408724,28.667564
408800,36.911766
430002,35.60146
430003,60.677082
430101,52.924789
430102,48.983364
430200,61.643837
430301,50.220264
430302,51.928783
430400,73.952095
430501,59.893047
430502,77.987419
430600,60.197369
430701,54.846939
430721,38
430723,66.197182
430724,64.814812
430801,57.636124
430802,78.426399
430803,64.379944
430901,54.333332
430902,54.415955
431001,43.012703
431002,67.955803
431100,50.163933
431200,33.210785
431300,62.578617
431400,89.84375
431501,50.165016
431502,60.330578
431600,84.15094
431700,70.323486
431800,73.486092
431900,69.629631
432000,78.160919
432101,37.583893
432102,41.891891
432201,57.627117
432202,51.572327
432300,57.640751
432401,66.216217
432402,48.125
432500,53.475937
432601,60.922661
432602,69.139465
432700,44.235924
432801,32.712765
432802,54.560532
432901,61.410789
432902,45.602608
433101,47.42857
433102,40.683762
433200,47.646221
433302,42.975208
433304,47.241379
433305,47.046844
433306,50.920246
433307,50.173012
433401,43.386242
433402,21.981424
