Area,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold
131020,19.217777,35.68
131100,13.118092,28.068645
131200,10.492228,25.420984
131300,14.91353,45.981689
131400,15.441539,42.049004
131600,10.420993,32.169151
131701,23.133661,52.235138
131702,29.151699,39.458412
131800,20.258471,40.901154
131900,9.5969286,25.911709
132001,10.891391,31.548525
132002,12.180053,35.21624
132101,12.84073,29.894121
132102,20.814732,36.086311
132300,28.393221,53.016949
132501,16.378378,44.486488
132502,24.618567,43.599689
132700,26.596132,62.823788
132900,10.797046,32.034634
133000,17.340258,34.454731
133100,16.663692,39.67886
134001,31.41321,61.904762
134002,17.293777,48.721661
134101,20.81702,44.085106
134103,15.876288,35.097366
134104,12.563544,32.147179
134201,8.6526871,24.849361
134302,4.0427752,20.396452
134303,9.659956,25.461004
134304,22.813156,36.459061
134305,34.061611,70.876122
134306,18.181818,36.561882
134421,5.2032518,10.108401
134422,7.550571,15.061086
134423,7.1343989,14.712848
134424,0.91743118,4.3669724
134520,24.690903,54.49345
134521,27.438017,66.578514
134522,21.13335,63.530022
134710,31.00905,61.59906
134720,13.541881,31.673183
134800,12.498045,31.988111
134901,11.982248,29.467455
134903,16.29579,45.703526
134904,9.7755718,44.1735
134905,10.048949,17.420097
135102,9.9466276,23.774866
135111,6.3209076,24.278769
135113,5.1718383,14.814815
135114,18.609581,36.668079
135201,8.4441252,23.104563
135202,5.7405787,14.066608
135203,10.859917,20.305132
137000,4.1526847,16.149328
137103,6.431005,15.609029
137104,11.107243,17.374651
137201,9.5328722,22.456747
137301,4.2618628,12.038664
137302,4.7345133,11.172566
137401,8.3948336,16.12085
137402,9.7833805,27.503551
137501,9.3959732,22.843649
137502,5.1736703,16.201117
137504,3.3053775,7.1534286
138000,8.9754448,15.749365
139001,10.1222,18.778004
139200,12.937813,22.087206
139301,6.9971442,28.804569
139302,20.531504,48.628376
139303,18.999765,49.427437
139401,13.674934,34.399479
139402,8.0723734,18.649965
139502,10.217535,16.282135
139503,26.445286,40.313145
139504,16.652506,46.332485
139600,14.322692,24.050905
139701,3.5897436,7.405128
139702,7.1729245,12.005388
139703,8.5299454,14.591652
139801,2.7737226,5.1386862
139802,3.9463503,7.841114
141101,8.9826612,24.838102
141102,6.6066065,20.253588
141201,12.452199,32.695984
141202,8.181818,19.930071
141302,11.068502,19.435246
141303,13.320707,22.853535
141304,11.056054,25.611645
141400,13.898081,25.170969
141500,3.5377359,6.5026956
141600,3.7277536,9.090909
141700,2.0302932,5.1240735
143100,6.9698353,10.968922
143200,10.746951,25.990854
143300,6.235363,20.155151
143400,5.3393526,14.866127
143500,8.9209852,15.590485
143602,10.743243,17.432432
143603,10.992435,21.1838
143604,9.8480425,18.439508
143700,6.2051849,11.858798
143800,4.5000906,11.159499
143901,6.4765587,11.261479
143902,3.2967033,5.9940062
181000,10.114379,15.375817
181300,8.397337,16.052227
181400,14.519337,29.745857
181500,4.8943844,18.46986
181600,7.4393358,29.022989
183101,12.620292,35.60627
183103,21.793135,47.064137
183104,10.815308,23.044926
183220,18.551519,47.772446
183221,20.973537,45.769356
183222,14.533874,37.724377
183300,15.423477,33.283802
183401,9.2546062,40.871021
183402,22.017094,43.555557
183510,12.644135,32.683895
183520,27.263046,59.717785
183610,30.452204,58.156841
183620,22.444647,54.898392
183701,28.601362,48.035622
183702,16.594023,37.204235
183810,31.248514,54.982162
183820,35.424999,67.550003
185100,22.274584,50.911091
185202,26.802355,43.771458
185203,18.649815,59.093712
185204,10.248283,20.443741
185310,20.286694,64.817703
185320,22.41625,65.64505
186100,10.643351,32.037998
186201,17.49165,48.223503
186202,13.024174,27.577702
186203,18.690638,28.968792
186301,33.947029,64.179588
186302,21.576063,33.796883
186401,31.646275,58.175751
186403,19.04603,45.230152
186404,25.277246,56.061184
187101,10.359116,28.211327
187102,11.838943,39.813702
187200,23.320158,56.593605
187300,6.78934,17.988579
188100,11.197014,40.815781
188201,6.5042982,17.106018
188202,6.6205106,19.601904
188300,3.3907726,16.453585
189101,17.249603,32.35294
189102,13.892365,26.470589
189201,17.260275,46.544903
189202,8.7125635,15.169195
189300,6.5919132,12.911995
189400,11.978273,17.324184
189500,16.450325,32.601097
189600,10.406733,21.234222
189701,12.219321,23.08094
189702,12.598425,17.952755
189800,14.548201,32.217468
189902,16.749712,25.60368
189903,18.910107,28.92408
189904,20.390284,40.58144
189905,12.16443,26.635906
190100,23.224329,49.448032
190201,38.696445,63.719234
190202,36.964462,55.197609
190301,17.293234,46.201031
190401,23.092724,45.892017
190402,36.584328,57.836456
190510,33.187077,60.251297
190520,28.074596,65.196571
190700,26.276276,56.126125
190801,39.460785,69.566994
190802,22.777779,56
190901,35.759209,56.648697
190902,29.960272,61.813507
191000,23.625793,51.400635
191110,22.004967,53.848541
191120,29.137264,68.563622
191201,30.908203,49.560547
191203,29.822012,59.97094
